2018-02-05 10:28:19 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 10:28:19', '171.221.5.230', 'Mozilla/5.0 (Linux; Android 6.0.1; Hisense F22 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 10:33:05 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 10:33:05', '220.166.199.87', 'Mozilla/5.0 (Linux; Android 7.1.1; OPPO R11 Build/NMF26X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043906 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 10:52:45 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 10:52:45', '110.184.82.181', 'Mozilla/5.0 (Linux; Android 5.1; 8298-A01 Build/LMY47D; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043906 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 10:57:30 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 10:57:30', '171.221.77.21', 'Mozilla/5.0 (Linux; Android 7.1.2; Redmi 5 Plus Build/N2G47H; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043906 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 11:09:02 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 11:09:02', '171.214.139.158', 'Mozilla/5.0 (Linux; Android 5.1.1; vivo X7 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 11:27:08 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 11:27:08', '110.184.188.17', 'Mozilla/5.0 (Linux; Android 8.0; MHA-AL00 Build/HUAWEIMHA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.143 Crosswalk/24.53.595.0 XWEB/27 MMWEBSDK/17 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 11:28:56 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 11:28:56', '110.184.188.17', 'Mozilla/5.0 (Linux; Android 8.0.0; MHA-AL00 Build/HUAWEIMHA-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Mobile Safari/537.36', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 11:31:13 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 11:31:13', '139.207.68.44', 'Mozilla/5.0 (Linux; Android 7.0; VTR-AL00 Build/HUAWEIVTR-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/4G Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 11:32:18 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 11:32:18', '110.184.188.17', 'Mozilla/5.0 (Linux; Android 8.0.0; MHA-AL00 Build/HUAWEIMHA-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Mobile Safari/537.36', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 11:58:43 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 11:58:43', '125.70.186.47', 'Mozilla/5.0 (Linux; Android 6.0.1; ivvi i3P-02 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043613 Safari/537.36 MicroMessenger/6.5.16.1120 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
